word,rating
aback,3.045454545
abandoned,2.5
abandoning,2.125
abandonment,2.5
abbot,3.047619048
abbreviated,2.291666667
abbreviation,3.458333333
abbreviations,3.16
abdomen,2.454545455
abdominal,2.526315789
abduction,2.7
aberration,3.125
abhor,3.6875
abide,2.181818182
abides,2.277777778
abiding,2.083333333
abilities,2.761904762
ability,1.807692308
abject,2.227272727
able,2.038461538
abnormal,1.615384615
abnormalities,2.782608696
aboard,2.041666667
abode,2.590909091
abolish,2.125
abolished,2.130434783
abolition,3
abominable,3
aboriginal,3
aborigines,4.173913043
abort,1.1
abortion,3.294117647
abortions,2.47826087
abound,2.535714286
about,2.545454545
above,2.217391304
abrasive,2.772727273
abreast,2.681818182
abridged,3.541666667
abroad,2.08
abrupt,2.684210526
abruptly,2.208333333
absence,3.083333333
absent,1.56
absolute,2.481481481
absolutely,2.666666667
absolutes,2.238095238
absorb,2.6
absorbed,2.208333333
absorbing,2.428571429
absorbs,2.086956522
absorption,3.115384615
abstain,2
abstinence,3.086956522
abstract,2.72
abstraction,2.2
abstractions,2.5
abstracts,2.125
absurd,2.407407407
absurdity,2.576923077
abundance,1.833333333
abundant,2.25
abuse,1.772727273
abused,2
abuses,1.785714286
abusive,2.375
abysmal,4.380952381
abyss,4
academic,1.846153846
academically,2.75
academics,2.52
academies,2.833333333
academy,2.625
accelerate,3.285714286
accelerated,3.148148148
accelerating,2.88
acceleration,3.4
accelerator,3.333333333
accelerators,2.52173913
accent,3
accented,3.227272727
accents,2.307692308
accept,2.592592593
acceptable,2.916666667
acceptance,2.545454545
accepted,2.375
accepting,2.666666667
accepts,2.423076923
access,2.666666667
accesses,3
accessible,2.409090909
accessories,3.076923077
accessory,2.875
accident,2.846153846
accidental,2.44
accidentally,3
accidents,2.76
acclaim,3.173913043
acclaimed,3
accolade,2.666666667
accommodate,2.5
accommodating,2.842105263
accommodation,2.36
accommodations,3.153846154
accompanied,2.5
accompanies,2.826086957
accompaniment,3.208333333
accompany,2
accompanying,2.875
accomplish,2.347826087
accomplished,2.5
accomplishes,2.75
accomplishing,2.434782609
accomplishment,3
accomplishments,2.375
accord,2.076923077
accordance,2.5
accorded,2.409090909
according,2.28
accordingly,2.76
accordion,2.260869565
accords,2.476190476
account,2.407407407
