"word","rating","sd","surveygroup","n","groupsize"
"northern",2.13793103448276,1.35552145820172,1,29,30
"snail",2.1,1.06187862154606,1,30,30
"younger",2.4,1.22051430651746,1,30,30
"somewhat",1.86666666666667,1.13664155431187,1,30,30
"emphasis",3.6551724137931,1.47056505342493,1,29,30
"politicians",3.76666666666667,1.35655073073493,1,30,30
"compatible",2.62068965517241,1.52160143794641,1,29,30
"flame",1.96666666666667,0.889917986664224,1,30,30
"support",1.66666666666667,0.958926602970768,1,30,30
"frozen",1.46666666666667,0.776079152261361,1,30,30
"compared",1.82758620689655,0.966176762785057,1,29,30
"interest",1.68965517241379,1.00368778141491,1,29,30
"under",1.7,1.17883636371372,1,30,30
"sweet",1.5,0.776819332832332,1,30,30
"refers",2,1.01709525543122,1,30,30
"pub",1.5,0.900191550497008,1,30,30
"exact",1.82758620689655,1.03747514659531,1,29,30
"bay",1.33333333333333,0.606478434863123,1,30,30
"knees",3.53333333333333,1.54770872545533,1,30,30
"managing",3.06666666666667,1.55215830452272,1,30,30
"differ",1.66666666666667,0.922266074754828,1,30,30
"expensive",2.06666666666667,1.20153158964696,1,30,30
"previous",2.93333333333333,1.17248140440613,1,30,30
"citizen",2.63333333333333,1.65014802540473,1,30,30
"trumpet",2.13793103448276,1.35552145820172,1,29,30
"broken",1.96551724137931,1.40109035654097,1,29,30
"engineer",3.51724137931034,1.45456644633307,1,29,30
"leader",2.51724137931034,1.29891959652112,1,29,30
"dog",1.20689655172414,0.559292304411029,1,29,30
"animals",1.75862068965517,1.12297985014975,1,29,30
"proved",2.3448275862069,1.3958065274489,1,29,30
"suffer",1.75,1.23603308118261,1,28,30
"milk",1.55172413793103,1.02072127497288,1,29,30
"bank",1.27586206896552,0.591399775601311,1,29,30
"afraid",2.21428571428571,1.31535498256506,1,28,30
"delivered",2.10714285714286,1.2863754913562,1,28,30
"achieve",3.41379310344828,1.42721610585359,1,29,30
"fuel",2.89655172413793,1.58890860085529,1,29,30
"established",2.55172413793103,1.50205114276045,1,29,30
"lens",1.31034482758621,0.603764871207686,1,29,30
"sports",1.6551724137931,1.04457312090926,1,29,30
"fighting",3.58620689655172,1.61504624832741,1,29,30
"move",2.10344827586207,1.29131238851374,1,29,30
"supposedly",2.51724137931034,1.50287081602351,1,29,30
"absolutely",2.62068965517241,1.49794604860523,1,29,30
"applicable",2.68965517241379,1.46637181690686,1,29,30
"highest",3.10344827586207,1.61122906915823,1,29,30
"born",1.55172413793103,1.02072127497288,1,29,30
"loose",2.27586206896552,1.19213349336803,1,29,30
"estimated",2,1.0690449676497,1,29,30
"confirmed",2,1.19522860933439,1,29,30
"installation",2.72413793103448,1.36005650418697,1,29,30
"charges",2.62068965517241,1.63475190567359,1,29,30
"balanced",2.06896551724138,1.27981679723418,1,29,30
"partial",3.31034482758621,1.46637181690686,1,29,30
"command",1.89655172413793,1.08050344040594,1,29,30
"amounts",2.10344827586207,1.23475930523804,1,29,30
"museum",3.31034482758621,1.49052838847413,1,29,30
"precisely",3.27586206896552,1.36005650418697,1,29,30
"provide",1.79310344827586,0.977581211271239,1,29,30
"fault",2.31034482758621,1.31212609030051,1,29,30
"array",2.20689655172414,1.31961331849327,1,29,30
"solar",1.79310344827586,1.01345626252893,1,29,30
"deal",1.75862068965517,1.02313148204747,1,29,30
"pop",1.27586206896552,0.751025571380226,1,29,30
"tape",1.72413793103448,1.0655833990334,1,29,30
"event",1.62068965517241,0.978840170210507,1,29,30
"decision",3.25,1.53055303488399,1,28,30
"limited",1.93103448275862,1.25159996127125,1,29,30
"crusade",3.17241379310345,1.71274561361161,1,29,30
"loved",1.89655172413793,0.976320628914165,1,29,30
"lose",2.55172413793103,1.18279955120262,1,29,30
"empires",2.24137931034483,1.29986736723936,1,29,30
"facility",3.20689655172414,1.58968348927046,1,29,30
"later",2.03448275862069,1.01709525543122,1,29,30
"estate",2.27586206896552,1.38606719390145,1,29,30
"earned",2.37931034482759,1.08278058400742,1,29,30
"possibilities",2.44827586206897,1.50205114276045,1,29,30
"visited",1.82758620689655,1.03747514659531,1,29,30
"con",1.3448275862069,0.669534063411986,1,29,30
